,Convergence rate
0,-0.0
250,0.9994106750122331
500,1.000652341277266
750,1.0000594423380662
1000,1.001005452135747
1250,1.0005195225624348
1500,1.0004532656018488
1750,1.0000763534819785
2000,1.0000088039008823
2250,0.9998943657079357
2500,0.9998281037554756
2750,0.9997846316507256
3000,0.9997718717178017
3250,0.9997837270186131
3500,0.9998044108129926
3750,0.9998286169110097
4000,0.9998551066086434
4250,0.9998832713228021
4500,0.9999089660426178
4750,0.9999325448219527
5000,0.9999523796256792
5250,0.9999690317000546
5500,0.9999825948348628
5750,0.9999931990613077
6000,1.0000014140823543
6250,1.0000073396139637
6500,1.000011547560252
6750,1.000014340913725
7000,1.0000158882151688
7250,1.000016661012519
7500,1.0000166932104058
7750,1.0000162879295156
8000,1.0000155462646798
8250,1.0000145356122379
8500,1.0000134579043882
8750,1.0000122795011914
9000,1.0000111013271238
9250,1.0000099569981058
9500,1.0000088464859447
9750,1.0000078370340209
10000,1.0000068949747212
10250,1.0000060539158857
10500,1.0000052465693978
10750,1.0000045401822337
11000,1.0000039347359033
11250,1.0000033965861002
11500,1.0000029257229555
11750,1.000002488510061
12000,1.0000021521983458
12250,1.0000018158981396
12500,1.0000015804896634
12750,1.0000013114600173
13000,1.000001143316656
13250,1.0000009751763506
13500,1.0000008070386543
13750,1.0000007397824056
14000,1.0000006052743364
14250,1.000000504393786
14500,1.0000004371401865
14750,1.0000004035131216
15000,1.0000003026342648
15250,1.0000002690078273
15500,1.0000002353815334
15750,1.0000002353812427
16000,1.0000001681292754
16250,1.000000168129127
16500,1.0000001681289785
16750,1.0000001345030738
17000,1.000000134502979
17250,1.0000001008771702
17500,1.0000001008771167
17750,1.0000000672513802
18000,1.0000000672513565
18250,1.0000000672513327
18500,1.0000000672513092
18750,1.0000000672512852
19000,1.0000000336256332
19250,1.00000006725125
19500,1.0000000336256156
19750,1.0000000336256094
20000,1.0
20250,1.0000000336256034
20500,1.0000000336255979
20750,1.0
21000,1.0000000336255916
21250,1.0
21500,1.0000000336255856
21750,1.0
22000,1.0000000336255799
22250,1.0
22500,1.0
22750,1.0
23000,1.0
23250,1.0000000336255739
23500,1.0
23750,1.0
24000,1.0
24250,1.0
24500,1.0
24750,1.0
