Time,"ELEVATION Z","Points:0","Points:1","Points:2","VELOCITY U","VELOCITY V","VELOCITY W"
5000,0,0,100,0,0.13964,-0,0
5000,0,500,100,0,-0.015517,0.022579,0
5000,0,10,100,0,0,0,0
5000,0,20.833,100,0,0,0,0
5000,0,32.5,100,0,0,0,0
5000,0,45,100,0,0,0,0
5000,0,58.333,100,0,0,0,0
5000,0,72.5,100,0,0,0,0
5000,0,87.5,100,0,0,0,-0
5000,0,103.33,100,0,0,0,0
5000,0,120,100,0,0,0,0
5000,0,137.5,100,0,0,0,0
5000,0,155.83,100,0,0,0,0
5000,0,175,100,0,0,0,0
5000,0,195,100,0,0,0,0
5000,0,215.83,100,0,0,0,0
5000,0,237.5,100,0,0,0,0
5000,0,260,100,0,0,0,-0
5000,0,283.33,100,0,0,0,0
5000,0,307.5,100,0,0,0,-0
5000,0,332.5,100,0,0,0,-0
5000,0,358.33,100,0,0,0,0
5000,0,385,100,0,0,0,0
5000,0,412.5,100,0,0,0,0
5000,0,440.83,100,0,0,0,-0
5000,0,470,100,0,0,0,-0
5000,0,500,0,0,-0.042757,-0.018199,-0
5000,0,500,80,0,0.17948,0.021666,0
5000,0,500,60,0,0.21218,0.024858,0
5000,0,500,40,0,0.21429,0.0063463,0
5000,0,500,20,0,0.17601,0.019502,0
5000,0,0,0,0,0.13921,-0,0
5000,0,485,0,0,0,0,0
5000,0,470.13,0,0,0,0,0
5000,0,455.38,0,0,0,0,0
5000,0,440.77,0,0,0,0,-0
5000,0,426.28,0,0,0,0,0
5000,0,411.92,0,0,0,0,0
5000,0,397.69,0,0,0,0,-0
5000,0,383.59,0,0,0,0,0
5000,0,369.62,0,0,0,0,0
5000,0,355.77,0,0,0,0,-0
5000,0,342.05,0,0,0,0,0
5000,0,328.46,0,0,0,0,0
5000,0,315,0,0,0,0,0
5000,0,301.67,0,0,0,0,0
5000,0,288.46,0,0,0,0,0
5000,0,275.38,0,0,0,0,-0
5000,0,262.44,0,0,0,0,0
5000,0,249.62,0,0,0,0,0
5000,0,236.92,0,0,0,0,-0
5000,0,224.36,0,0,0,0,0
5000,0,211.92,0,0,0,0,0
5000,0,199.62,0,0,0,0,-0
5000,0,187.44,0,0,0,0,0
5000,0,175.38,0,0,0,0,0
5000,0,163.46,0,0,0,0,0
5000,0,151.67,0,0,0,0,-0
5000,0,140,0,0,0,0,-0
5000,0,128.46,0,0,0,0,0
5000,0,117.05,0,0,0,0,-0
5000,0,105.77,0,0,0,0,0
5000,0,94.615,0,0,0,0,0
5000,0,83.59,0,0,0,0,-0
5000,0,72.692,0,0,0,0,0
5000,0,61.923,0,0,0,0,0
5000,0,51.282,0,0,0,0,-0
5000,0,40.769,0,0,0,0,0
5000,0,30.385,0,0,0,0,0
5000,0,20.128,0,0,0,0,-0
5000,0,10,0,0,0,0,-0
5000,0,0,10,0,0.13901,-0,0
5000,0,0,20,0,0.13912,-0,0
5000,0,0,30,0,0.13908,-0,0
5000,0,0,40,0,0.13909,-0,0
5000,0,0,50,0,0.13907,-0,0
5000,0,0,60,0,0.13909,-0,0
5000,0,0,70,0,0.13907,-0,0
5000,0,0,80,0,0.13909,-0,0
5000,0,0,90,0,0.13873,-0,0
5000,0,7.7841,16.119,0,0.082483,-0.012986,0
5000,0,9.7422,35.009,0,0.1207,-0.0014066,0
5000,0,9.8045,54.982,0,0.12214,-0.0080996,0
5000,0,9.4679,75.855,0,0.13184,-0.034198,0
5000,0,12.319,88.474,0,0.17748,-0.13935,0
5000,0,38.483,88.255,0,0.11738,-0.0034246,0
5000,0,65.353,85.208,0,0.15327,0.0019085,0
5000,0,96.144,84.741,0,0.16146,0.0017303,0
5000,0,129.66,83.415,0,0.17156,0.00026597,0
5000,0,166.76,81.258,0,0.17883,-0.0021496,0
5000,0,206.85,78.374,0,0.18813,-0.0009056,0
5000,0,251.55,78.734,0,0.18474,0.0013006,0
5000,0,296.2,80.2,0,0.17813,-0.00070608,0
5000,0,345.5,76.054,0,0.19477,0.0019374,0
5000,0,400.62,72.887,0,0.20576,0.0023101,0
5000,0,457.08,72.229,0,0.21197,-9.3364e-05,0
5000,0,481.99,78.147,0,0.1907,0.024727,0
5000,0,479.85,51.621,0,0.20933,0.012438,0
5000,0,463.18,16.316,0,0.16858,0.01497,0
5000,0,433.39,14.708,0,0.17871,0.012804,0
5000,0,404.43,13.94,0,0.18046,-0.0010068,0
5000,0,376.06,15.14,0,0.19056,-0.0061554,0
5000,0,349.03,13.591,0,0.1914,0.014117,0
5000,0,321.18,12.077,0,0.1803,-0.0067197,0
5000,0,294.98,12.977,0,0.18533,-0.00088006,0
5000,0,268.96,12.115,0,0.18319,0.0063895,0
5000,0,243.74,12.463,0,0.19081,0.0017425,0
5000,0,218.32,11.567,0,0.18043,-0.0049631,0
5000,0,194.09,12.794,0,0.1902,8.4941e-05,0
5000,0,168.99,12.829,0,0.19373,0.00024564,0
5000,0,145.45,11.151,0,0.18869,0.008487,0
5000,0,122.79,10.843,0,0.18903,-0.0031779,0
5000,0,99.954,11.275,0,0.19141,-0.0021786,0
5000,0,77.745,11.382,0,0.19331,0.001868,0
5000,0,55.839,10.681,0,0.18107,-0.0035077,0
5000,0,34.774,9.9976,0,0.17641,0.0060727,0
5000,0,13.274,8.3322,0,0.22335,0.089624,0
5000,0,480.72,23.911,0,0.21327,0.025142,0
5000,0,8.9936,25.039,0,0.14123,0.017969,0
5000,0,10.061,44.762,0,0.12759,-0.0057796,0
5000,0,9.0588,65.101,0,0.1283,-0.018546,0
5000,0,25.891,89.893,0,0.047203,0.097527,0
5000,0,50.829,85.819,0,0.14777,0.0050285,0
5000,0,80.554,84.928,0,0.1571,0.0040058,0
5000,0,112.74,84.147,0,0.16679,-0.00036907,0
5000,0,148.11,82.655,0,0.17326,-0.0032392,0
5000,0,186.56,79.939,0,0.18194,-0.0034914,0
5000,0,229.12,78.491,0,0.18435,0.0018888,0
5000,0,274.06,79.594,0,0.18087,0.0022825,0
5000,0,320.58,78.175,0,0.18737,-0.0086668,0
5000,0,372.88,75.497,0,0.19076,-0.0062174,0
5000,0,427.23,74.649,0,0.18973,0.00020888,0
5000,0,391.03,14.647,0,0.18847,-0.001818,0
5000,0,447.86,16.728,0,0.19262,-0.00084998,0
5000,0,418.91,13.532,0,0.17518,0.001529,0
5000,0,362.34,15.699,0,0.20219,0.0022821,0
5000,0,334.86,11.382,0,0.17232,0.0046833,0
5000,0,308.33,13.136,0,0.18904,-0.00099874,0
5000,0,281.96,13.134,0,0.19165,0.0015576,0
